"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"290","CRTAC1","ENSG00000095713","Cartilage acidic protein 1","Q9NQ79","Secreted to extracellular matrix"
"291","IL11","ENSG00000095752","Interleukin 11","P20809","Secreted to blood"
"292","TPSD1","ENSG00000095917","Tryptase delta 1","Q9BZJ3","Intracellular and membrane"
"293","TREM2","ENSG00000095970","Triggering receptor expressed on myeloid cells 2","Q9NZC2","Secreted in brain"
"294","CRISP3","ENSG00000096006","Cysteine rich secretory protein 3","P54108","Secreted in other tissues"
"295","PGC","ENSG00000096088","Progastricsin","P20142","Secreted to digestive system"
"296","HSP90AB1","ENSG00000096384","Heat shock protein 90 alpha family class B member 1","P08238","Intracellular and membrane"
"297","MLN","ENSG00000096395","Motilin","P12872","Secreted to blood"
"298","IL12RB1","ENSG00000096996","Interleukin 12 receptor subunit beta 1","P42701","Intracellular and membrane"
"299","PCSK5","ENSG00000099139","Proprotein convertase subtilisin/kexin type 5","Q92824","Secreted to blood"
"300","NRP1","ENSG00000099250","Neuropilin 1","O14786","Secreted in other tissues"
"301","CATSPERG","ENSG00000099338","Cation channel sperm associated auxiliary subunit gamma","Q6ZRH7","Secreted in male reproductive system"
"302","EFNA2","ENSG00000099617","Ephrin A2","O43921","Intracellular and membrane"
"303","AMELY","ENSG00000099721","Amelogenin Y-linked","Q99218","Secreted in other tissues"
"304","IGFALS","ENSG00000099769","Insulin like growth factor binding protein acid labile subunit","P35858","Secreted to blood"
"305","CDHR5","ENSG00000099834","Cadherin related family member 5","Q9HBB8","Intracellular and membrane"
"306","IZUMO4","ENSG00000099840","IZUMO family member 4","Q1ZYL8","Secreted in male reproductive system"
"307","SERPIND1","ENSG00000099937","Serpin family D member 1","P05546","Secreted to blood"
"308","MMP11","ENSG00000099953","Matrix metallopeptidase 11","P24347","Secreted to extracellular matrix"
"309","OSM","ENSG00000099985","Oncostatin M","P13725","Secreted to blood"
"310","GGT5","ENSG00000099998","Gamma-glutamyltransferase 5","P36269","Intracellular and membrane"
"311","GGT1","ENSG00000100031","Gamma-glutamyltransferase 1","P19440","Intracellular and membrane"
"312","MFNG","ENSG00000100060","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","O00587","Intracellular and membrane"
"313","PLA2G3","ENSG00000100078","Phospholipase A2 group III","Q9NZ20","Secreted to blood"
"314","LGALS1","ENSG00000100097","Galectin 1","P09382","Secreted to blood"
"315","CCDC134","ENSG00000100147","Coiled-coil domain containing 134","Q9H6E4","Secreted to blood"
"316","DDX17","ENSG00000100201","DEAD-box helicase 17","Q92841","Intracellular and membrane"
"317","TIMP3","ENSG00000100234","TIMP metallopeptidase inhibitor 3","P35625","Secreted to extracellular matrix"
"318","ARSA","ENSG00000100299","Arylsulfatase A","P15289","Intracellular and membrane"
"319","PDGFB","ENSG00000100311","Platelet derived growth factor subunit B","P01127","Secreted to blood"
"320","ACR","ENSG00000100312","Acrosin","P10323","Secreted in male reproductive system"
"321","APOL4","ENSG00000100336","Apolipoprotein L4","Q9BPW4","Secreted to blood"
"322","APOL1","ENSG00000100342","Apolipoprotein L1","O14791","Secreted to blood"
"323","FOXRED2","ENSG00000100350","FAD dependent oxidoreductase domain containing 2","Q8IWF2","Intracellular and membrane"
"324","CHADL","ENSG00000100399","Chondroadherin like","Q6NUI6","Secreted to extracellular matrix"
"325","CTSG","ENSG00000100448","Cathepsin G","P08311","Intracellular and membrane"
"326","GZMH","ENSG00000100450","Granzyme H","P20718","Secreted to blood"
"327","GZMB","ENSG00000100453","Granzyme B","P10144","Secreted to blood"
"328","COCH","ENSG00000100473","Cochlin","O43405","Secreted in other tissues"
"329","ISM2","ENSG00000100593","Isthmin 2","Q6H9L7","Secreted in female reproductive system"
"330","LGMN","ENSG00000100600","Legumain","Q99538","Intracellular and membrane"
"331","ALKBH1","ENSG00000100601","AlkB homolog 1, histone H2A dioxygenase","Q13686","Intracellular and membrane"
"332","CHGA","ENSG00000100604","Chromogranin A","P10645","Intracellular and membrane"
"333","SERPINA4","ENSG00000100665","Serpin family A member 4","P29622","Secreted to blood"
"334","PAPLN","ENSG00000100767","Papilin, proteoglycan like sulfated glycoprotein","O95428","Secreted - unknown location"
"335","C14orf93","ENSG00000100802","Chromosome 14 open reading frame 93","Q9H972","Secreted to blood"
"336","PLTP","ENSG00000100979","Phospholipid transfer protein","P55058","Secreted to blood"
"337","MMP9","ENSG00000100985","Matrix metallopeptidase 9","P14780","Secreted to blood"
"338","CD40","ENSG00000101017","CD40 molecule","P25942","Secreted to blood"
"339","R3HDML","ENSG00000101074","R3H domain containing like","Q9H3Y0","Secreted - unknown location"
"340","BMP7","ENSG00000101144","Bone morphogenetic protein 7","P18075","Secreted to blood"
"341","CTSZ","ENSG00000101160","Cathepsin Z","Q9UBR2","Intracellular and membrane"
"342","AVP","ENSG00000101200","Arginine vasopressin","P01185","Secreted to blood"
"343","COL20A1","ENSG00000101203","Collagen type XX alpha 1 chain","Q9P218","Secreted to extracellular matrix"
"344","ISM1","ENSG00000101230","Isthmin 1","B1AKI9","Secreted in other tissues"
"345","ANGPT4","ENSG00000101280","Angiopoietin 4","Q9Y264","Secreted to blood"
"346","RSPO4","ENSG00000101282","R-spondin 4","Q2I0M5","Secreted in other tissues"
"347","PDYN","ENSG00000101327","Prodynorphin","P01213","Secreted in brain"
"348","POFUT1","ENSG00000101346","Protein O-fucosyltransferase 1","Q9H488","Intracellular and membrane"
"349","OXT","ENSG00000101405","Oxytocin/neurophysin I prepropeptide","P01178","Secreted to blood"
"350","BPI","ENSG00000101425","Bactericidal permeability increasing protein","P17213","Secreted to blood"
"351","CST9L","ENSG00000101435","Cystatin 9 like","Q9H4G1","Secreted in male reproductive system"
"352","CST3","ENSG00000101439","Cystatin C","P01034","Secreted to blood"
"353","ASIP","ENSG00000101440","Agouti signaling protein","P42127","Secreted to blood"
"354","CST4","ENSG00000101441","Cystatin S","P01036","Secreted to digestive system"
"355","WFDC2","ENSG00000101443","WAP four-disulfide core domain 2","Q14508","Secreted in other tissues"
"356","SPINT3","ENSG00000101446","Serine peptidase inhibitor, Kunitz type 3","P49223","Secreted in male reproductive system"
"357","EPPIN","ENSG00000101448","Epididymal peptidase inhibitor","O95925","Secreted in male reproductive system"
"358","LIPG","ENSG00000101670","Lipase G, endothelial type","Q9Y5X9","Secreted to blood"
"359","LAMA1","ENSG00000101680","Laminin subunit alpha 1","P25391","Secreted to extracellular matrix"
"360","MXRA5","ENSG00000101825","Matrix remodeling associated 5","Q9NR99","Secreted to extracellular matrix"
"361","CHRDL1","ENSG00000101938","Chordin like 1","Q9BU40","Secreted in other tissues"
"362","SRPX","ENSG00000101955","Sushi repeat containing protein X-linked","P78539","Secreted - unknown location"
"363","F9","ENSG00000101981","Coagulation factor IX","P00740","Secreted to blood"
"364","SLC25A14","ENSG00000102078","Solute carrier family 25 member 14","O95258","Intracellular and membrane"
"365","RS1","ENSG00000102104","Retinoschisin 1","O15537","Secreted in other tissues"
"366","PCSK1N","ENSG00000102109","Proprotein convertase subtilisin/kexin type 1 inhibitor","Q9UHG2","Secreted to blood"
"367","MAGT1","ENSG00000102158","Magnesium transporter 1","Q9H0U3","Intracellular and membrane"
"368","USP11","ENSG00000102226","Ubiquitin specific peptidase 11","P51784","Intracellular and membrane"
"369","CD40LG","ENSG00000102245","CD40 ligand","P29965","Secreted to blood"
"370","TIMP1","ENSG00000102265","TIMP metallopeptidase inhibitor 1","P01033","Secreted to blood"
"371","ITIH6","ENSG00000102313","Inter-alpha-trypsin inhibitor heavy chain family member 6","Q6UXX5","Secreted to blood"
"372","SRPX2","ENSG00000102359","Sushi repeat containing protein X-linked 2","O60687","Secreted to blood"
"373","GLA","ENSG00000102393","Galactosidase alpha","P06280","Intracellular and membrane"
"374","TNFSF13B","ENSG00000102524","TNF superfamily member 13b","Q9Y275","Secreted to blood"
"375","ACP5","ENSG00000102575","Acid phosphatase 5, tartrate resistant","P13686","Intracellular and membrane"
"376","DNAJC3","ENSG00000102580","DnaJ heat shock protein family (Hsp40) member C3","Q13217","Intracellular and membrane"
"377","UGGT2","ENSG00000102595","UDP-glucose glycoprotein glucosyltransferase 2","Q9NYU1","Intracellular and membrane"
"378","FGF9","ENSG00000102678","Fibroblast growth factor 9","P31371","Secreted in other tissues"
"379","FLT1","ENSG00000102755","Fms related receptor tyrosine kinase 1","P17948","Secreted to blood"
"380","RGCC","ENSG00000102760","Regulator of cell cycle","Q9H4X1","Intracellular and membrane"
"381","CLN5","ENSG00000102805","CLN5 intracellular trafficking protein","O75503","Intracellular and membrane"
"382","OLFM4","ENSG00000102837","Olfactomedin 4","Q6UX06","Secreted to digestive system"
"383","MSLN","ENSG00000102854","Mesothelin","Q13421","Intracellular and membrane"
"384","CBLN1","ENSG00000102924","Cerebellin 1 precursor","P23435","Secreted in brain"
"385","CCL22","ENSG00000102962","C-C motif chemokine ligand 22","O00626","Secreted to blood"
"386","CCL17","ENSG00000102970","C-C motif chemokine ligand 17","Q92583","Secreted to blood"
"387","PRSS54","ENSG00000103023","Serine protease 54","Q6PEW0","Secreted in male reproductive system"
"388","NME3","ENSG00000103024","NME/NM23 nucleoside diphosphate kinase 3","Q13232","Intracellular and membrane"
"389","PLA2G15","ENSG00000103066","Phospholipase A2 group XV","Q8NCC3","Intracellular and membrane"
"390","WFDC1","ENSG00000103175","WAP four-disulfide core domain 1","Q9HC57","Secreted to extracellular matrix"
"391","CRISPLD2","ENSG00000103196","Cysteine rich secretory protein LCCL domain containing 2","Q9H0B8","Secreted to blood"
"392","METRN","ENSG00000103260","Meteorin, glial cell differentiation regulator","Q9UJH8","Secreted in brain"
"393","ZP2","ENSG00000103310","Zona pellucida glycoprotein 2","Q05996","Secreted in female reproductive system"
"394","PRSS33","ENSG00000103355","Serine protease 33","Q8NF86","Secreted to blood"
"395","GGA2","ENSG00000103365","Golgi associated, gamma adaptin ear containing, ARF binding protein 2","Q9UJY4","Intracellular and membrane"
"396","QPRT","ENSG00000103485","Quinolinate phosphoribosyltransferase","Q15274","Intracellular and membrane"
"397","XYLT1","ENSG00000103489","Xylosyltransferase 1","Q86Y38","Secreted to blood"
"398","MAZ","ENSG00000103495","MYC associated zinc finger protein","P56270","Intracellular and membrane"
"399","LACTB","ENSG00000103642","Lactamase beta","P83111","Intracellular and membrane"
"400","CTSH","ENSG00000103811","Cathepsin H","P09668","Intracellular and membrane"
"401","CEMIP","ENSG00000103888","Cell migration inducing hyaluronidase 1","Q8WUJ3","Secreted in other tissues"
"402","TMEM87A","ENSG00000103978","Transmembrane protein 87A","Q8NBN3","Intracellular and membrane"
"403","SCG3","ENSG00000104112","Secretogranin III","Q8WXD2","Secreted in brain"
"404","PDGFRL","ENSG00000104213","Platelet derived growth factor receptor like","Q15198","Secreted - unknown location"
"405","CPQ","ENSG00000104324","Carboxypeptidase Q","Q9Y646","Secreted to blood"
"406","SFRP1","ENSG00000104332","Secreted frizzled related protein 1","Q8N474","Secreted in other tissues"
"407","PLAT","ENSG00000104368","Plasminogen activator, tissue type","P00750","Secreted to blood"
"408","DKK 4.00","ENSG00000104371","Dickkopf WNT signaling pathway inhibitor 4","Q9UBT3","Secreted in other tissues"
"409","ESRP1","ENSG00000104413","Epithelial splicing regulatory protein 1","Q6NXG1","Intracellular and membrane"
"410","CCN4","ENSG00000104415","Cellular communication network factor 4","O95388","Secreted to extracellular matrix"
"411","IL7","ENSG00000104432","Interleukin 7","P13232","Secreted to blood"
"412","GML","ENSG00000104499","Glycosylphosphatidylinositol anchored molecule like","Q99445","Intracellular and membrane"
"413","GSDMD","ENSG00000104518","Gasdermin D","P57764","Intracellular and membrane"
"414","R3HCC1","ENSG00000104679","R3H domain and coiled-coil containing 1","Q9Y3T6","Intracellular and membrane"
"415","UBXN8","ENSG00000104691","UBX domain protein 8","O00124","Intracellular and membrane"
"416","FGL1","ENSG00000104760","Fibrinogen like 1","Q08830","Secreted to blood"
"417","ASAH1","ENSG00000104763","N-acylsphingosine amidohydrolase 1","Q13510","Intracellular and membrane"
"418","MAN2B1","ENSG00000104774","Mannosidase alpha class 2B member 1","O00754","Intracellular and membrane"
"419","TULP2","ENSG00000104804","TUB like protein 2","O00295","Secreted in male reproductive system"
"420","NUCB1","ENSG00000104805","Nucleobindin 1","Q02818","Secreted to blood"
"421","CGB2","ENSG00000104818","Chorionic gonadotropin subunit beta 2","Q6NT52","Secreted in other tissues"
"422","LHB","ENSG00000104826","Luteinizing hormone subunit beta","P01229","Secreted to blood"
"423","CGB3","ENSG00000104827","Chorionic gonadotropin subunit beta 3","P0DN86","Secreted to blood"
"424","AMH","ENSG00000104899","Anti-Mullerian hormone","P03971","Secreted to blood"
"425","DKKL1","ENSG00000104901","Dickkopf like acrosomal protein 1","Q9UK85","Secreted in male reproductive system"
"426","RETN","ENSG00000104918","Resistin","Q9HD89","Secreted to blood"
"427","FCER2","ENSG00000104921","Fc epsilon receptor II","P06734","Secreted to blood"
"428","CLEC4M","ENSG00000104938","C-type lectin domain family 4 member M","Q9H2X3","Intracellular and membrane"
"429","IL4I1","ENSG00000104951","Interleukin 4 induced 1","Q96RQ9","Secreted to blood"
"430","LILRB1","ENSG00000104972","Leukocyte immunoglobulin like receptor B1","","Intracellular and membrane"
"431","OLFM2","ENSG00000105088","Olfactomedin 2","O95897","Secreted in other tissues"
"432","EPHX3","ENSG00000105131","Epoxide hydrolase 3","Q9H6B9","Intracellular and membrane"
"433","GPI","ENSG00000105220","Glucose-6-phosphate isomerase","P06744","Secreted to blood"
"434","EBI3","ENSG00000105246","Epstein-Barr virus induced 3","Q14213","Secreted to blood"
"435","TGFB1","ENSG00000105329","Transforming growth factor beta 1","","Secreted to blood"
"436","ICAM4","ENSG00000105371","Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Q14773","Intracellular and membrane"
"437","CEACAM5","ENSG00000105388","CEA cell adhesion molecule 5","P06731","Intracellular and membrane"
"438","PTPRS","ENSG00000105426","Protein tyrosine phosphatase receptor type S","Q13332","Secreted - unknown location"
"439","CLEC11A","ENSG00000105472","C-type lectin domain containing 11A","Q9Y240","Secreted in other tissues"
"440","SIGLEC6","ENSG00000105492","Sialic acid binding Ig like lectin 6","O43699","Secreted to blood"
"441","FGF21","ENSG00000105550","Fibroblast growth factor 21","Q9NSA1","Secreted to blood"
"442","DNASE2","ENSG00000105612","Deoxyribonuclease 2, lysosomal","O00115","Intracellular and membrane"
"443","COMP","ENSG00000105664","Cartilage oligomeric matrix protein","P49747","Secreted to extracellular matrix"
"444","HAMP","ENSG00000105697","Hepcidin antimicrobial peptide","P81172","Secreted to blood"
"445","SCN1B","ENSG00000105711","Sodium voltage-gated channel beta subunit 1","Q07699","Secreted in other tissues"
"446","TFPI2","ENSG00000105825","Tissue factor pathway inhibitor 2","P48307","Secreted to extracellular matrix"
"447","NAMPT","ENSG00000105835","Nicotinamide phosphoribosyltransferase","P43490","Secreted to blood"
"448","PON3","ENSG00000105852","Paraoxonase 3","Q15166","Secreted to blood"
"449","PON2","ENSG00000105854","Paraoxonase 2","Q15165","Secreted to blood"
"450","PTN","ENSG00000105894","Pleiotrophin","P21246","Secreted to blood"
"451","NPVF","ENSG00000105954","Neuropeptide VF precursor","Q9HCQ7","Secreted in other tissues"
"452","MET","ENSG00000105976","MET proto-oncogene, receptor tyrosine kinase","P08581","Secreted to blood"
"453","WNT2","ENSG00000105989","Wnt family member 2","P09544","Secreted to extracellular matrix"
"454","LFNG","ENSG00000106003","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","Q8NES3","Intracellular and membrane"
"455","CPVL","ENSG00000106066","Carboxypeptidase vitellogenic like","Q9H3G5","Intracellular and membrane"
"456","FKBP14","ENSG00000106080","FKBP prolyl isomerase 14","Q9NWM8","Intracellular and membrane"
"457","STX1A","ENSG00000106089","Syntaxin 1A","Q16623","Intracellular and membrane"
